reading_date,latitude,longitude,reading,site_normal,units,,RREMS Fixed Monitor Site Quarterly Data,,Oct-22
31/10/2022 23:30,55.18118,-6.1536963,0.1,0.1,µGy/h,,Note: RREMS replaced RIMNET 11 September 2022,,
31/10/2022 23:30,56.71762,-3.7784253,0.11,0.11,µGy/h,,Note: Site names based on geographic locations will be added to Lat/Long as RREMS develops,,
31/10/2022 23:30,56.327483,-3.7262724,0.11,0.11,µGy/h,,,,
31/10/2022 23:30,56.852206,-2.2647776,0.12,0.11,µGy/h,,,,
31/10/2022 23:30,51.011372,-2.6406806,0.13,0.12,µGy/h,,,,
31/10/2022 23:30,50.575772,-1.2973554,0.11,0.11,µGy/h,,,,
31/10/2022 23:30,53.810765,-1.8670821,0.13,0.11,µGy/h,,,,
31/10/2022 23:30,54.236245,-6.5029419,0.12,0.11,µGy/h,,,,
31/10/2022 23:30,54.357524,-7.5930994,0.12,0.11,µGy/h,,,,
31/10/2022 23:30,51.152025,-0.191962,0.1,0.1,µGy/h,,,,
31/10/2022 23:30,55.31197,-3.2060249,0.11,0.11,µGy/h,,,,
31/10/2022 23:30,50.363935,-4.1405852,0.13,0.13,µGy/h,,,,
31/10/2022 23:30,51.55456,0.8265693,0.12,0.11,µGy/h,,,,
31/10/2022 23:30,53.251761,-4.5353666,0.11,0.1,µGy/h,,,,
31/10/2022 23:30,52.794157,-2.6636021,0.11,0.11,µGy/h,,,,
31/10/2022 23:30,54.85926,-4.9329108,0.11,0.1,µGy/h,,,,
31/10/2022 23:30,54.362584,-0.6741465,0.13,0.1,µGy/h,,,,
31/10/2022 23:29,60.139759,-1.1853195,0.12,0.11,µGy/h,,,,
31/10/2022 23:29,51.407225,-3.4312126,0.11,0.11,µGy/h,,,,
31/10/2022 23:29,55.022827,-7.2134427,0.12,0.11,µGy/h,,,,
31/10/2022 23:29,57.206586,-3.8283705,0.12,0.12,µGy/h,,,,
31/10/2022 23:29,56.497948,-6.8775884,0.09,0.09,µGy/h,,,,
31/10/2022 23:29,50.78011,-1.8347064,0.1,0.1,µGy/h,,,,
31/10/2022 23:29,51.086569,-3.6097656,0.13,0.13,µGy/h,,,,
31/10/2022 23:29,52.139703,-4.5696209,0.13,0.12,µGy/h,,,,
31/10/2022 23:29,53.359653,-2.3792062,0.12,0.11,µGy/h,,,,
31/10/2022 23:29,51.162142,-1.7546932,0.1,0.09,µGy/h,,,,
31/10/2022 23:29,49.91556,-6.2941276,0.14,0.15,µGy/h,,,,
31/10/2022 23:29,55.718348,-2.3823221,0.12,0.12,µGy/h,,,,
31/10/2022 23:29,51.479455,-0.4497835,0.11,0.1,µGy/h,,,,
31/10/2022 23:29,50.514223,-2.4566356,0.1,0.1,µGy/h,,,,
31/10/2022 23:29,58.952928,-2.8995057,0.13,0.12,µGy/h,,,,
31/10/2022 23:29,57.20536,-2.204404,0.11,0.13,µGy/h,,,,
31/10/2022 23:29,52.757303,-3.4647033,0.14,0.12,µGy/h,,,,
31/10/2022 23:29,50.945778,0.8948255,0.1,0.09,µGy/h,,,,
31/10/2022 23:29,53.094818,-0.1728059,0.11,0.1,µGy/h,,,,
31/10/2022 23:29,54.93401,-2.9621327,0.14,0.11,µGy/h,,,,
31/10/2022 23:29,57.859579,-5.6316813,0.09,0.1,µGy/h,,,,
31/10/2022 23:29,49.209668,-2.193075,0.09,0.1,µGy/h,,,,
31/10/2022 23:29,55.501839,-4.5830181,0.09,0.09,µGy/h,,,,
31/10/2022 23:29,52.261093,0.5664678,0.12,0.1,µGy/h,,,,
31/10/2022 23:29,51.806806,-0.3601069,0.13,0.11,µGy/h,,,,
31/10/2022 23:29,57.471254,-5.871702,0.11,0.12,µGy/h,,,,
31/10/2022 23:29,58.45388,-3.0906446,0.11,0.11,µGy/h,,,,
31/10/2022 23:29,52.789407,-4.7457061,0.12,0.11,µGy/h,,,,
31/10/2022 23:29,49.708726,-2.214848,0.13,0.12,µGy/h,,,,
31/10/2022 23:29,54.124851,-3.2581981,0.11,0.11,µGy/h,,,,
31/10/2022 23:29,50.815714,-0.9218546,0.12,0.11,µGy/h,,,,
31/10/2022 23:29,55.441812,-5.6956268,0.11,0.1,µGy/h,,,,
31/10/2022 23:29,53.261018,-3.5073495,0.11,0.1,µGy/h,,,,
31/10/2022 23:29,50.713068,-3.4963648,0.17,0.15,µGy/h,,,,
