DNO_Key,Date,Min_Rate_p_kWh,Max_Rate_p_kWh,Mean_Rate_p_kWh,Median_Rate_p_kWh,Count,DNO_Name
ENWL,2018-01-01,0.7600833333333333,3.8882499999999998,1.8972890682435875,1.6765,73.75,Electricity North West
ENWL,2020-01-01,0.7790833333333333,5.287083333333333,2.038019072634878,1.6583333333333332,75.25,Electricity North West
ENWL,2021-01-01,0.5553636363636364,8.853454545454545,2.8355048887986056,1.8076363636363637,68.63636363636364,Electricity North West
ENWL,2022-01-01,1.1240333048344309,7.213879458680585,3.133048856972314,1.9152640740652005,69.53846153846153,Electricity North West
ENWL,2023-01-01,0.5863619709052365,6.2543619709052365,2.5912699334628453,1.6435927401360055,69.3076923076923,Electricity North West
ENWL,2025-01-01,0.5069588208985997,9.152456374336584,3.826508801195645,2.31730482852298,99.3,Electricity North West
ENWL,2026-01-01,0.3668926667053354,11.49101927912253,4.048827176385449,2.4466159358244677,31.428571428571427,Electricity North West
NGED-SW,2014-01-01,0.7442717005150664,3.9083967038761593,2.1949599691279547,2.273265367739689,148.1,National Grid Electricity Distribution – South West (SWEST)
NGED-SW,2015-01-01,0.6772647923167797,4.589179572375709,2.2985557433574146,1.8320300908265321,37.25,National Grid Electricity Distribution – South West (SWEST)
NGED-SW,2016-01-01,0.674592448007318,5.1302490782980446,2.5756207651644383,1.9436170729593707,39.875,National Grid Electricity Distribution – South West (SWEST)
NGED-SW,2017-01-01,0.6766098778981715,4.466196973571966,2.3516752275490282,1.9275930314848329,39.875,National Grid Electricity Distribution – South West (SWEST)
NGED-SW,2018-01-01,0.9287738481216191,4.562096136073754,2.5634014827762175,1.7884237307207995,42.714285714285715,National Grid Electricity Distribution – South West (SWEST)
NGED-SW,2019-01-01,0.9388423850000001,4.62969933,2.3308187836536014,1.7449788775,39.625,National Grid Electricity Distribution – South West (SWEST)
NGED-SW,2020-01-01,0.932089835210136,4.838398891423209,2.6058529263971626,1.8305311782091016,42.714285714285715,National Grid Electricity Distribution – South West (SWEST)
NGED-SW,2021-01-01,0.9989874508994706,13.298244998829583,4.856964205212121,1.5856124331704495,17.8,National Grid Electricity Distribution – South West (SWEST)
NGED-SW,2022-01-01,0.11458513995019967,14.802601650545643,5.797394890417879,0.7061578750469539,16.2,National Grid Electricity Distribution – South West (SWEST)
NGED-SW,2023-01-01,0.05958955118849294,14.650701158056744,6.1606359992346995,1.5615244834805135,16.2,National Grid Electricity Distribution – South West (SWEST)
NGED-SW,2024-01-01,0.06598955118849295,17.676901158056744,6.836537448510062,1.5903244834805137,16.2,National Grid Electricity Distribution – South West (SWEST)
NGED-SW,2025-01-01,0.14621295012133725,20.455830935253204,7.502928374136113,1.8459059510902782,16.2,National Grid Electricity Distribution – South West (SWEST)
NGED-SW,2026-01-01,0.5050689280784635,18.90560507076593,7.734032181189282,4.55126218415722,16.0,National Grid Electricity Distribution – South West (SWEST)
NGED-SWales,2014-01-01,1.0549616080372646,2.6415274393819117,1.8676557314937041,1.9900728939273664,93.54545454545455,National Grid Electricity Distribution – South Wales (SWALES)
NGED-SWales,2015-01-01,0.7884987762274434,3.16098255423608,1.9672287695861614,1.8285241964093037,35.75,National Grid Electricity Distribution – South Wales (SWALES)
NGED-SWales,2016-01-01,0.768453262792389,3.4263755047457924,2.089161525054152,1.900606022298265,38.375,National Grid Electricity Distribution – South Wales (SWALES)
NGED-SWales,2017-01-01,0.7771351751835992,2.8579012831451664,1.9006258952745716,1.9012456618280258,38.375,National Grid Electricity Distribution – South Wales (SWALES)
