nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId,is_vlp_by_name,is_aggregator_code,multiple_assets,is_vlp
AG-CBS08M,V__MCEND001,,,Centrica Business Solutions UK,V,True,Brigg Battery,CENDEPUK,0.000,0.000,P,-0.0051169,0.000,0.000,0.000,0.000,True,False,_M,Yorkshire,,True,False,False,True
ARBRB-1,E_ARBRB-1,,OTHER,Octopus Energy Trading Limited,E,True,Arbroath Battery Storage,COPPER,-35.597,34.000,C,-0.0301340,-14.239,-14.239,13.600,13.600,True,False,_P,North Scotland,,True,False,True,True
ARNKB-2,E_ARNKB-2,,,Flexitricity Limited,E,True,Hutton Battery Storage,FLEXTRCY,-9.391,49.000,C,0.0042196,-3.756,-3.756,19.600,19.600,True,False,_A,Eastern,,True,False,True,True
BARNB-1,E_BARNB-1,,,EDF Energy Customers Limited,E,True,Hunningley Stairfoot BESS,LENCO,-40.602,40.383,C,-0.0051169,-16.241,-16.241,16.153,16.153,True,False,_M,Yorkshire,,False,False,True,True
BERKB-1,E_BERKB-1,,,SMS Energy Services Limited,E,False,Berkeley BESS,SMS1ENES,-50.000,50.000,C,0.0112507,-4.680,-4.680,4.680,4.680,False,False,_E,Midlands,,False,False,True,True
BHOLB-1,E_BHOLB-1,,,Tesla Motors Limited,E,True,Holes Bay Battery,TESLA,-7.426,7.120,P,0.0199799,-2.970,-2.970,2.848,2.848,True,False,_H,Southern,,False,False,True,True
BLPFB-1,T_BLPFB-1,,,EDF Energy Customers Limited,T,True,Bulphan Fen Warley Green BESS,LENCO,-50.000,50.000,C,0.0042196,-4.680,-4.680,4.680,4.680,False,False,,,,False,False,True,True
BREDB-1,T_BREDB-1,,,Pivoted Power LLP,T,True,BREDBURY BESS,PIVOT,-57.000,49.900,C,-0.0048159,-22.800,-22.800,19.960,19.960,True,False,,,,False,False,True,True
BROAB-1,E_BROAB-1,,,Tesla Motors Limited,E,True,Broadditch Battery,TESLA,-11.000,11.000,P,0.0120522,-4.400,-4.400,4.400,4.400,True,False,_J,South Eastern,,False,False,True,True
BROFB-1,E_BROFB-1,,,Arenko Cleantech Limited,E,False,Brook Farm BESS,AG,-50.000,50.000,C,0.0042196,-1.680,-1.680,1.680,1.680,False,False,_A,Eastern,,False,False,True,True
BROXB-1,E_BROXB-1,,OTHER,ENGIE Power Limited,E,True,BroxburnBattery,RWETDL,-50.000,50.000,P,-0.0088069,-20.000,-20.000,20.000,20.000,True,False,_N,South Scotland,,True,False,True,True
BURWB-1,E_BURWB-1,,OTHER,Arenko Cleantech Limited,E,True,Burwell Weirs Drove BESS,AG,-50.861,50.533,C,0.0042196,-20.344,-20.344,20.213,20.213,True,False,_A,Eastern,,False,False,True,True
CATHB-1,E_CATHB-1,,OTHER,ENGIE Power Limited,E,True,CathkinBattery,RWETDL,-49.900,49.900,P,-0.0088069,-19.960,-19.960,19.960,19.960,True,False,_N,South Scotland,,True,False,True,True
CHAPB-1,E_CHAPB-1,,,Tesla Motors Limited,E,True,Chapel Farm BESS,TESLA,-50.210,50.169,P,0.0042196,-20.084,-20.084,20.068,20.068,True,False,_A,Eastern,,False,False,True,True
CLAYB-1,E_CLAYB-1,,,Tesla Motors Limited,E,True,ClayTye Farm 1 Battery Storage,TESLA,-49.500,49.500,P,0.0042196,-19.800,-19.800,19.800,19.800,True,False,_A,Eastern,,False,False,True,True
CLAYB-2,E_CLAYB-2,,,Tesla Motors Limited,E,True,ClayTye Farm 2 Battery Storage,TESLA,-49.500,49.500,P,0.0042196,-19.800,-19.800,19.800,19.800,True,False,_A,Eastern,,False,False,True,True
CONTB-1,E_CONTB-1,,,Tesla Motors Limited,E,True,Contego Battery,TESLA,-34.445,35.800,P,0.0120522,-13.778,-13.778,14.320,14.320,True,False,_J,South Eastern,,False,False,True,True
CUPAB-1,E_CUPAB-1,,OTHER,Octopus Energy Trading Limited,E,True,Coupar Battery Storage,COPPER,-41.543,41.314,C,-0.0301340,-16.617,-16.617,16.526,16.526,True,False,_P,North Scotland,,True,False,True,True
ENDRB-1,T_ENDRB-1,48W00000ENDRB-1N,OTHER,Flexitricity Limited,T,True,Enderby BESS,FLEXTRCY,-57.000,57.000,P,0.0073472,-22.800,-22.800,22.800,22.800,True,False,,,,True,False,True,True
FARNB-1,E_FARNB-1,,,Tesla Motors Limited,E,True,Farnham BESS,TESLA,-20.000,20.000,P,0.0199799,-8.000,-8.000,8.000,8.000,True,False,_H,Southern,,False,False,True,True
FBPG01,2__FBPGM001,,,BP Gas Marketing Limited,S,True,Wormald Green BESS,BPGAS,-33.600,33.600,C,-0.0072556,-0.393,-0.252,0.393,0.252,False,False,_F,Northern,,False,False,True,True
FBPG02,2__FBPGM002,,,BP Gas Marketing Limited,S,True,Hawthorn Pit BESS,BPGAS,-54.800,50.300,C,-0.0072556,-2.702,-2.598,2.480,2.384,False,False,_F,Northern,,False,False,True,True
FERRB-1,T_FERRB-1,48W00000FERRB-1V,OTHER,SSE Ferrybridge Battery Ltd,T,True,Ferrybridge BESS BMU-1,FERBESS,-74.000,76.000,P,-0.0051169,-29.600,-29.600,30.400,30.400,True,False,,,,False,False,True,True
FERRB-2,T_FERRB-2,,OTHER,SSE Ferrybridge Battery Ltd,T,True,Ferrybridge BESS BMU-2,FERBESS,-74.000,76.000,P,-0.0051169,-29.600,-29.600,30.400,30.400,True,False,,,,False,False,True,True
HAWKB-1,E_HAWKB-1,,,Tesla Motors Limited,E,True,HawkersHill  Battery,TESLA,-20.000,20.000,P,0.0199799,-8.000,-8.000,8.000,8.000,True,False,_H,Southern,,False,False,True,True
ILMEB-1,E_ILMEB-1,,,Tesla Motors Limited,E,True,Ilmer Lane BESS,TESLA,-49.500,49.500,P,0.0042196,-19.800,-19.800,19.800,19.800,True,False,_A,Eastern,,False,False,True,True
JAMBB-1,E_JAMBB-1,,OTHER,Tesla Motors Limited,E,True,Jamesfield 1 Battery Storage,TESLA,-30.000,30.000,P,-0.0301340,-12.000,-12.000,12.000,12.000,True,False,_P,North Scotland,,False,False,True,True
JAMBB-2,E_JAMBB-2,,OTHER,Tesla Motors Limited,E,True,Jamesfield 2 Battery Storage,TESLA,-19.314,19.000,P,-0.0301340,-7.726,-7.726,7.600,7.600,True,False,_P,North Scotland,,False,False,True,True
KTHRS-1,T_KTHRS-1,,,Statkraft Markets Gmbh,T,True,Keith Storage 1,STATKRA1,-2.500,0.000,C,-0.0301340,-1.529,-1.529,0.000,0.000,False,False,,,,False,False,True,True
KTHRS-2,T_KTHRS-2,,,Statkraft Markets Gmbh,T,True,Keith Storage 2,STATKRA1,-2.500,0.000,C,-0.0301340,-1.494,-1.494,0.000,0.000,False,False,,,,False,False,True,True
LARKB-1,T_LARKB-1,48W00000LARKB-19,OTHER,EDF Energy Customers Limited,T,True,Larks Green Battery Storage,LENCO,-52.000,52.000,C,0.0214735,-4.867,-4.867,4.867,4.867,False,False,,,,False,False,True,True
LITRB-1,E_LITRB-1,,OTHER,Tesla Motors Limited,E,True,Little Raith BESS,TESLA,-50.000,50.000,P,-0.0088069,-20.000,-20.000,20.000,20.000,True,False,_N,South Scotland,,False,False,True,True
LRDSC-1,T_LRDSC-1,,OTHER,Statkraft Markets Gmbh,T,True,Lister Storage 1,STATKRA1,-16.382,1.003,C,0.0013166,-11.623,-11.623,0.712,0.712,False,False,,,,False,False,True,True
LRDSC-2,T_LRDSC-2,,OTHER,Statkraft Markets Gmbh,T,True,Lister Storage 2,STATKRA1,-2.500,0.792,C,0.0013166,-1.455,-1.455,0.461,0.461,False,False,,,,False,False,True,True
NEWTB-1,E_NEWTB-1,,,Arenko Cleantech Limited,E,False,Newton wood BESS,AG,-50.000,50.000,C,0.0073472,-9.120,-9.120,9.120,9.120,False,False,_B,East Midlands,,False,False,True,True
NLSTB-1,T_NLSTB-1,,OTHER,Statkraft Markets Gmbh,T,True,Neilston Battery 1,STATKRA1,-50.000,50.000,C,-0.0088069,-4.680,-4.680,4.680,4.680,False,False,,,,False,False,True,True
NTAWB-1,E_NTAWB-1,,,SMS Energy Services Limited,E,False,North Tawton BESS,SMS1ENES,-30.000,30.000,C,0.0247256,-2.808,-2.808,2.808,2.808,False,False,_L,South Western,,False,False,True,True
NURSB-1,T_NURSB-1,,,EDF Energy Customers Limited,T,True,Nursling Battery Storage,LENCO,-48.798,44.000,C,0.0199799,-19.519,-19.519,17.600,17.600,True,False,,,,False,False,True,True
PILLB-1,E_PILLB-1,,,BP Gas Marketing Limited,E,True,Pillswood 1 Battery Storage,BPGAS,-49.900,49.900,P,-0.0051169,-19.960,-19.960,19.960,19.960,True,False,_M,Yorkshire,,False,False,True,True
PILLB-2,E_PILLB-2,,,BP Gas Marketing Limited,E,True,Pillswood 2 Battery Storage,BPGAS,-49.900,49.900,P,-0.0051169,-19.960,-19.960,19.960,19.960,True,False,_M,Yorkshire,,False,False,True,True
PNYCB-1,T_PNYCB-1,,,Arenko Cleantech Limited,T,True,Pen y Cymoedd Battery,AG,-22.000,22.000,P,0.0162007,-8.800,-8.800,8.800,8.800,True,False,,,,False,False,True,True
POTES-1,E_POTES-1,,,Arenko Cleantech Limited,E,True,Port of Tyne Energy Storage,AG,-35.000,35.000,C,-0.0072556,-14.000,-14.000,14.000,14.000,True,False,_F,Northern,,False,False,True,True
ROARB-1,E_ROARB-1,,OTHER,Tesla Motors Limited,E,True,Roaring Hill BESS,TESLA,-50.000,50.000,P,-0.0088069,-20.000,-20.000,20.000,20.000,True,False,_N,South Scotland,,False,False,True,True
SHILB-1,E_SHILB-1,,OTHER,Octopus Energy Trading Limited,E,True,Shilton Lane BESS,COPPER,-40.000,40.000,C,-0.0088069,-16.000,-16.000,16.000,16.000,True,False,_N,South Scotland,,True,False,True,True
SKELB-1,E_SKELB-1,,,Tesla Motors Limited,E,True,Skelmersdale Battery,TESLA,-50.642,49.900,P,-0.0048159,-20.257,-20.257,19.960,19.960,True,False,_G,North Western,,False,False,True,True
SUNDB-1,T_SUNDB-1,,,Pivoted Power LLP,T,True,SUNDON BESS,PIVOT,-57.000,49.900,C,0.0042196,-22.800,-22.800,19.960,19.960,True,False,,,,False,False,True,True
TEBWB-1,T_TEBWB-1,,,Arenko Cleantech Limited,T,True,Tebworth BESS Power Park,AG,-39.900,39.900,C,0.0042196,-3.735,-3.735,3.735,3.735,False,False,,,,False,False,True,True
THMRB-1,E_THMRB-1,,,Tesla Motors Limited,E,True,Thame Road  BESS,TESLA,-49.500,49.500,P,0.0042196,-19.800,-19.800,19.800,19.800,True,False,_A,Eastern,,False,False,True,True
TYLNB-1,T_TYLNB-1,48W00000TYLNB-1K,,Pivoted Power LLP,T,True,Tye Lane BESS,PIVOT,-57.000,58.000,P,0.0042196,-22.800,-22.800,23.200,23.200,True,False,,,,False,False,True,True
WBURB-41,T_WBURB-41,48W0000WBURB-41Z,OTHER,West Burton B Limited,T,True,West Burton B Battery,WESTBURB,-30.000,31.000,P,0.0073472,-12.000,-12.000,12.400,12.400,True,False,,,,False,False,True,True
WBURB-43,T_WBURB-43,48W0000WBURB-43V,OTHER,West Burton B Limited,T,True,West Burton B Battery,WESTBURB,-30.338,31.000,P,0.0073472,-12.135,-12.135,12.400,12.400,True,False,,,,False,False,True,True
ABERU-1,E_ABERDARE,,,UK Power Reserve Limited,E,True,Aberdare Power Station,UKPR,0.000,15.400,C,0.0162007,0.000,0.000,6.160,6.160,True,False,_K,South Wales,,False,False,True,True
ABRTW-1,E_ABRTW-1,48W00000ABRTW-1Z,WIND,Npower Commercial Gas Limited,E,True,Auchrobert Wind Farm,NPOWER02,-10.000,36.000,C,-0.0088069,-4.000,-4.000,14.400,14.400,True,False,_N,South Scotland,,False,False,True,True
ASHWW-1,E_ASHWW-1,48W00000ASHWW-1Z,WIND,Statkraft Markets Gmbh,E,True,Andershaw Wind Farm,STATKRA1,-1.000,35.000,P,-0.0088069,-0.400,-0.400,14.000,14.000,True,False,_N,South Scotland,,False,False,True,True
ASLVW-1,E_ASLVW-1,,WIND,Npower Commercial Gas Limited,E,True,Assel Valley Wind Farm,NPOWER02,-6.000,26.000,C,-0.0088069,-2.400,-2.400,10.400,10.400,True,False,_N,South Scotland,,False,False,True,True
BABAW-1,E_BABAW-1,48W00000BABAW-13,WIND,Statkraft Markets Gmbh,E,True,Baillie Wind Farm,STATKRA1,-1.000,52.500,P,-0.0301340,-0.400,-0.400,21.000,21.000,True,False,_P,North Scotland,,False,False,True,True
BDCHW-1,T_BDCHW-1,,WIND,RWE Generation UK plc,T,True,Bad a Cheo Wind Farm,INNOGY01,-1.000,27.000,P,-0.0301340,-0.400,-0.400,10.800,10.800,True,False,,,,False,False,True,True
