bmUnit,total_actions,active_days,first_action,last_action,bid_actions,avg_bid_price,total_bid_mw,offer_actions,avg_offer_price,total_offer_mw,max_capacity_mw,avg_action_size_mw,estimated_revenue_gbp,is_vlp
E_FARNB-1,113850,353,2024-11-10,2025-10-28,86984,102.72078888071363,0,90291,138.04270536376828,0,40,0.0,0.0,True
E_CHICK-1,64416,353,2024-11-10,2025-10-28,64326,158.24386717656935,0,64416,280.8629533035272,0,50,0.0,0.0,True
T_TYLNB-1,107390,353,2024-11-10,2025-10-28,54752,48.02954449152543,0,79768,118.22262122655701,0,114,0.0,0.0,True
E_BROAB-1,114771,353,2024-11-10,2025-10-28,89665,112.6982213795796,0,93328,150.18064107234716,0,22,0.0,0.0,True
T_KEAD-2,96556,353,2024-11-10,2025-10-28,64399,72.96846503827692,0,96504,97.2412662687557,0,900,0.0,0.0,False
E_SOLUTIA,64416,353,2024-11-10,2025-10-28,63580,85.43406731676616,0,64416,198.6122702434178,0,16,0.0,0.0,True
T_TEBWB-1,64416,353,2024-11-10,2025-10-28,108,28.411111111111108,0,3414,482.59108963093144,0,79,0.0,0.0,True
E_DBFRM-1,64416,353,2024-11-10,2025-10-28,60441,94.10936946774542,0,61019,126.94762991854996,0,40,0.0,0.0,True
T_HADHW-1,64416,353,2024-11-10,2025-10-28,32204,100.0,0,32204,500.0,0,200,0.0,0.0,False
E_NEWPB-1,12592,58,2025-09-01,2025-10-28,2664,61.381246246246256,0,2682,131.6075316927666,0,9999,0.0,0.0,False
E_RAKE-1,64416,353,2024-11-10,2025-10-28,60532,93.96401093636428,0,60943,126.43862346783055,0,40,0.0,0.0,True
I_IVD-GRMC1,192,2,2024-12-13,2024-12-14,0,,,0,,,0,0.0,0.0,True
E_CATHB-1,29204,154,2025-05-28,2025-10-28,0,,,0,,,0,0.0,0.0,True
E_OLDHB-1,120025,353,2024-11-10,2025-10-28,49141,58.0082566492338,0,56117,126.93677548692911,0,9999,0.0,0.0,False
E_CONTB-1,146941,353,2024-11-10,2025-10-28,93984,113.04403494211783,0,97535,151.2756341826011,0,68,0.0,0.0,True
E_BROFB-1,69975,353,2024-11-10,2025-10-28,7985,48.53484658735129,0,10139,122.98497780846236,0,99,0.0,0.0,True
T_CARR-1,128832,353,2024-11-10,2025-10-28,122950,69.23254802765354,0,128832,119.55992967585688,0,430,0.0,0.0,True
T_SUTBS-1,64416,353,2024-11-10,2025-10-28,0,,,9744,999.0,0,50,0.0,0.0,True
E_POTES-1,118376,353,2024-11-10,2025-10-28,69590,54.88508248311539,0,87592,141.99851938533195,0,70,0.0,0.0,True
T_LNCSW-2,64416,353,2024-11-10,2025-10-28,32208,100.0,0,0,,,150,0.0,0.0,True
E_MINSW-1,64416,353,2024-11-10,2025-10-28,0,,,808,999.0,0,37,0.0,0.0,False
T_GLWSW-1,64416,353,2024-11-10,2025-10-28,0,,,0,,,55,0.0,0.0,False
E_JAMBB-2,116473,353,2024-11-10,2025-10-28,90573,87.47054508517992,0,94889,135.279267038329,0,38,0.0,0.0,True
T_WBURB-43,138675,353,2024-11-10,2025-10-28,59474,38.32521706964387,0,130857,194.2327749375273,0,60,0.0,0.0,True
