Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),21/22 Under-Recovered Costs (£m),CMP398/412 Claim Costs (£m),Interest Repayment (£m),Additional NESO Framework Costs (£m),Estimated BSUoS Volume (TWh)
01/07/2025,9.8,9.8,1.0,27.6,152.9,17.8,3.6,222.5,46.1,0,0,0.0,0,0,19.7
01/08/2025,10.2,10.5,1.0,28.2,130.4,18.5,3.6,202.4,46.1,0,0,0.0,0,0,19.6
01/09/2025,9.8,10.6,1.0,28.4,166.7,18.5,3.6,238.6,44.6,0,0,0.0,0,0,20.3
01/10/2025,9.5,10.7,1.0,27.8,229.6,17.3,3.6,299.5,97.0,0,0,0.0,0,0,22.8
01/11/2025,9.5,11.2,1.0,28.7,226.6,20.3,3.6,300.9,93.9,0,0,0.0,0,0,23.6
01/12/2025,9.5,11.9,1.0,29.6,186.2,20.8,3.6,262.6,97.0,0,0,0.0,0,0,25.2
01/01/2026,9.4,12.2,1.0,29.4,147.2,19.6,3.6,222.4,97.0,0,0,0.0,0,0,25.8
01/02/2026,9.3,12.0,1.0,28.5,198.2,21.6,3.6,274.2,87.7,0,0,0.0,0,0,23.1
01/03/2026,9.1,12.5,1.0,28.4,182.5,18.6,3.6,255.7,97.0,0,0,0.0,0,0,23.6
01/04/2026,9.2,12.6,1.0,27.7,112.4,18.4,3.6,184.9,69.2,0,0,1.2,0,0,21.1
01/05/2026,9.1,12.9,1.0,27.7,124.1,19.1,3.6,197.5,71.5,0,0,1.2,0,0,19.7
01/06/2026,8.7,12.9,1.0,27.3,163.7,17.3,3.6,234.5,69.2,0,0,1.2,0,0,18.8
01/07/2026,8.9,13.4,0.9,27.4,133.0,18.1,3.6,205.3,71.5,0,0,1.2,0,0,19.4
01/08/2026,8.3,14.8,0.9,27.8,136.2,19.8,3.6,211.4,71.5,0,0,1.2,0,0,19.4
01/09/2026,7.2,15.7,1.0,28.0,150.5,18.7,3.6,224.7,69.2,0,0,1.2,0,0,19.9
01/10/2026,6.5,18.1,1.1,29.0,177.2,18.5,3.6,254.0,71.5,0,0,1.2,0,0,22.2
01/11/2026,6.3,19.7,0.9,29.2,157.8,20.3,3.6,237.8,69.2,0,0,1.2,0,0,23.6
01/12/2026,6.1,22.1,1.0,30.5,136.5,20.8,3.6,220.6,71.5,0,0,1.2,0,0,25.2
01/01/2027,4.9,23.0,1.0,30.1,91.6,20.7,3.6,174.9,71.5,0,0,1.2,0,0,25.8
01/02/2027,4.1,21.0,1.0,27.6,99.5,18.9,3.6,175.7,64.6,0,0,1.2,0,0,23.0
01/03/2027,4.4,22.4,1.1,29.0,99.6,19.4,3.6,179.5,71.5,0,0,1.2,0,0,23.5
01/04/2027,3.8,21.6,0.9,27.8,85.9,19.9,3.6,163.5,69.0,0,0,2.8,0,0,21.2
01/05/2027,4.0,22.0,0.9,28.1,86.5,20.0,3.6,165.1,71.3,0,0,2.8,0,0,19.6
01/06/2027,3.9,20.6,1.0,27.1,89.9,20.1,3.6,166.2,69.0,0,0,2.8,0,0,18.6
