Tariff name,Open LLFCs,PCs,"Red/black unit charge
p/kWh","Amber/yellow unit charge
p/kWh","Green unit charge
p/kWh",Fixed charge p/MPAN/day,Capacity charge p/kVA/day,"Exceeded capacity charge
p/kVA/day","Reactive power charge
p/kVArh",Closed LLFCs
Domestic Aggregated,"1, 3, 7","1, 2 or 0",15.577,0.71,0.261,3.97,,,,"11, 25, 40, 43, 46, 58"
Domestic Aggregated (related MPAN),"2, 22",2,15.577,0.71,0.261,,,,,"29, 55, 61"
Non-Domestic Aggregated,"199, 200, 201, 202, 203, 204, 205, 254",3-8 or 0,14.585,0.676,0.255,4.11,,,,"15, 49, 237, 238, 239, 242, 247, 248, 250"
Non-Domestic Aggregated (related MPAN),64,4,14.585,0.676,0.255,,,,,33
LV Site Specific,"71, 72, 73, 74, 86",0,9.86,0.485,0.224,10.77,3.49,7.31,0.323,
LV Sub Site Specific,"80, 81, 82, 83, 85",0,7.039,0.36,0.203,7.97,4.85,6.35,0.21,
HV Site Specific,"84, 91, 92, 93, 94",0,5.798,0.307,0.195,106.15,4.01,5.63,0.169,
LV Site Specific Storage Import,"19, 70",0,9.684,0.31,0.049,10.77,3.49,7.31,0.323,
LV Sub Site Specific Storage Import,79,0,6.863,0.185,0.028,7.97,4.85,6.35,0.21,
HV Site Specific Storage Import,"89, 90",0,5.622,0.132,0.02,106.15,4.01,5.63,0.169,
Unmetered Supplies,"100, 101, 102, 103, 110, 111, 112, 113, 150, 151, 152, 153, 160, 161, 162, 163, 350","1, 8 or 0",41.646,1.326,0.894,,,,,
LV Generation Aggregated,912,8 or 0,-9.468,-0.329,-0.052,0.0,,,,"905, 913"
LV Sub Generation Aggregated,,0,-8.45,-0.279,-0.044,0.0,,,,
LV Generation Site Specific,"980, 982",0,-9.468,-0.329,-0.052,0.0,,,0.293,
LV Generation Site Specific no RP charge,"981, 983",0,-9.468,-0.329,-0.052,0.0,,,,
LV Sub Generation Site Specific,"984, 986",0,-8.45,-0.279,-0.044,0.0,,,0.259,
LV Sub Generation Site Specific no RP charge,"985, 987",0,-8.45,-0.279,-0.044,0.0,,,,
HV Generation Site Specific,"988, 990",0,-6.242,-0.164,-0.025,8.97,,,0.21,
HV Generation Site Specific no RP charge,"989, 991",0,-6.242,-0.164,-0.025,8.97,,,,
